sleep_hours,body_temperature,noise_levels,working_hours,working_area_temperature,workload,type_of_work,working_shift,calculated_stress_level,sleep_squared,sleep_low,sleep_optimal,night_noisy,bad_conditions,overworked,high_stress_binary
8.2,Normal,Moderate,Normal Day,Uncomfortable,Light,Demanding,Day shift,Medium,67.24,0,0,0,1,0,0
6.7,Normal,Moderate,Normal Day,Comfortable,Light,Easy,Day shift,Low,44.89,0,0,0,0,0,0
8.6,Not Normal,Moderate,Extreme Overtime,Comfortable,Light,Demanding,Day shift,High,73.96,0,0,0,0,0,1
10.8,Normal,Noisy,Long Day,Comfortable,Light,Easy,Day shift,Medium,116.64000000000001,0,0,0,0,0,0
6.4,Normal,Noisy,Long Day,Comfortable,Light,Demanding,Day shift,High,40.96000000000001,0,0,0,0,0,1
6.4,Normal,Noisy,Long Day,Comfortable,Normal,Easy,Day shift,High,40.96000000000001,0,0,0,0,0,1
10.9,Normal,Noisy,Long Day,Uncomfortable,Light,Easy,Night shift,High,118.81,0,0,1,0,0,1
8.9,Normal,Quiet,Extreme Overtime,Uncomfortable,Normal,Demanding,Night shift,Extremely High,79.21000000000001,0,0,0,1,0,1
5.8,Normal,Moderate,Normal Day,Comfortable,Heavy,Demanding,Day shift,High,33.64,1,0,0,0,0,1
8.4,Normal,Moderate,Normal Day,Uncomfortable,Heavy,Demanding,Day shift,Extremely High,70.56,0,0,0,1,0,1
5.8,Not Normal,Moderate,Normal Day,Comfortable,Normal,Demanding,Night shift,Extremely High,33.64,1,0,0,0,0,1
5.8,Normal,Noisy,Long Day,Uncomfortable,Heavy,Demanding,Day shift,Extremely High,33.64,1,0,0,1,1,1
7.6,Normal,Moderate,Normal Day,Comfortable,Normal,Easy,Day shift,Medium,57.76,0,1,0,0,0,0
2.2,Normal,Quiet,Short Day,Uncomfortable,Light,Demanding,Day shift,High,4.840000000000001,1,0,0,1,0,1
2.7,Not Normal,Moderate,Normal Day,Uncomfortable,Heavy,Demanding,Night shift,Extremely High,7.290000000000001,1,0,0,1,0,1
5.6,Normal,Noisy,Extreme Overtime,Comfortable,Heavy,Easy,Day shift,Extremely High,31.359999999999996,1,0,0,0,1,1
4.5,Normal,Quiet,Long Day,Comfortable,Normal,Demanding,Day shift,High,20.25,1,0,0,0,0,1
7.8,Normal,Moderate,Normal Day,Uncomfortable,Normal,Easy,Day shift,Medium,60.839999999999996,0,1,0,0,0,0
4.7,Normal,Moderate,Normal Day,Comfortable,Normal,Easy,Night shift,High,22.090000000000003,1,0,0,0,0,1
3.5,Normal,Quiet,Normal Day,Uncomfortable,Light,Demanding,Night shift,Extremely High,12.25,1,0,0,1,0,1
